"Date","spy.us"
"01/19/2010","109.43"
"01/15/2010","108.08"
"01/14/2010","109.30"
"01/13/2010","109.01"
"01/12/2010","108.10"
"01/11/2010","109.11"
"01/08/2010","108.96"
"01/07/2010","108.60"
"01/06/2010","108.14"
"01/05/2010","108.07"
"01/04/2010","107.78"
"12/31/2009","105.99"
"12/30/2009","107.01"
"12/29/2009","107.05"
"12/28/2009","107.20"
"12/24/2009","106.97"
"12/23/2009","106.47"
"12/22/2009","106.26"
"12/21/2009","105.88"
"12/18/2009","104.82"
"12/17/2009","104.79"
"12/16/2009","106.06"
"12/15/2009","105.90"
"12/14/2009","106.39"
"12/11/2009","105.67"
"12/10/2009","105.22"
"12/09/2009","104.64"
"12/08/2009","104.25"
"12/07/2009","105.42"
"12/04/2009","105.58"
"12/03/2009","104.98"
"12/02/2009","105.81"
"12/01/2009","105.85"
"11/30/2009","104.56"
"11/27/2009","104.21"
"11/25/2009","105.93"
"11/24/2009","105.56"
"11/23/2009","105.40"
"11/20/2009","104.07"
"11/19/2009","104.45"
"11/18/2009","105.82"
"11/17/2009","105.89"
"11/16/2009","105.77"
"11/13/2009","104.25"
"11/12/2009","103.69"
"11/11/2009","104.76"
"11/10/2009","104.23"
"11/09/2009","104.21"
"11/06/2009","101.89"
"11/05/2009","101.62"
"11/04/2009","99.78"
"11/03/2009","99.53"
"11/02/2009","99.21"
"10/30/2009","98.49"
"10/29/2009","101.43"
"10/28/2009","99.30"
"10/27/2009","101.21"
"10/26/2009","101.68"
"10/23/2009","102.79"
"10/22/2009","103.98"
"10/21/2009","102.93"
"10/20/2009","103.86"
"10/19/2009","104.42"
"10/16/2009","103.56"
"10/15/2009","104.34"
"10/14/2009","103.96"
"10/13/2009","102.20"
"10/12/2009","102.41"
"10/09/2009","102.01"
"10/08/2009","101.39"
"10/07/2009","100.62"
"10/06/2009","100.35"
"10/05/2009","98.93"
"10/02/2009","97.47"
"10/01/2009","97.96"
"09/30/2009","100.42"
"09/29/2009","100.81"
"09/28/2009","101.12"
"09/25/2009","99.34"
"09/24/2009","99.87"
"09/23/2009","100.98"
"09/22/2009","101.83"
"09/21/2009","101.24"
"09/18/2009","101.50"
"09/17/2009","101.92"
"09/16/2009","102.07"
"09/15/2009","100.55"
"09/14/2009","100.13"
"09/11/2009","99.64"
"09/10/2009","99.66"
"09/09/2009","98.65"
"09/08/2009","97.90"
"09/04/2009","97.06"
"09/03/2009","95.72"
"09/02/2009","94.93"
"09/01/2009","95.30"
"08/31/2009","97.45"
"08/28/2009","98.32"
"08/27/2009","98.34"
"08/26/2009","98.12"
"08/25/2009","98.11"
"08/24/2009","97.92"
"08/21/2009","97.93"
"08/20/2009","96.05"
"08/19/2009","95.07"
"08/18/2009","94.24"
"08/17/2009","93.50"
"08/14/2009","95.86"
"08/13/2009","96.60"
"08/12/2009","95.87"
"08/11/2009","94.85"
"08/10/2009","96.05"
"08/07/2009","96.25"
"08/06/2009","95.00"
"08/05/2009","95.50"
"08/04/2009","95.77"
"08/03/2009","95.52"
"07/31/2009","93.97"
"07/30/2009","93.84"
"07/29/2009","92.87"
"07/28/2009","93.10"
"07/27/2009","93.54"
"07/24/2009","93.26"
"07/23/2009","92.88"
"07/22/2009","90.87"
"07/21/2009","90.89"
"07/20/2009","90.47"
"07/17/2009","89.52"
"07/16/2009","89.54"
"07/15/2009","88.70"
"07/14/2009","86.18"
"07/13/2009","85.69"
"07/10/2009","83.65"
"07/09/2009","83.85"
"07/08/2009","83.69"
"07/07/2009","83.75"
"07/06/2009","85.40"
"07/02/2009","85.41"
"07/01/2009","87.81"
"06/30/2009","87.45"
"06/29/2009","88.16"
"06/26/2009","87.35"
"06/25/2009","87.57"
"06/24/2009","85.71"
"06/23/2009","84.98"
